date,player_name,team,opponent,position,stat,edge,grade,bucket,is_valid,is_combo,total_points,total_conditions,pass_rate,hitrate,hitrate_source,season_avg,games_played,ud_line,ud_over_odds,ud_under_odds,adaptive_multiplier,n_zone_conditions,n_playtype_conditions,details
2026-05-17,James Harden,CLE,DET,SG,rebounds,under,A,valid,True,False,1,1,0.996,0.543,nba_api_gamelog,4.8,70,4.5,-112,-112,0.9955,0,0,
2026-05-17,James Harden,CLE,DET,SG,assists,under,A,valid,True,False,1,1,0.853,0.514,nba_api_gamelog,8.0,70,6.5,+106,-130,0.8528,0,0,
2026-05-17,James Harden,CLE,DET,SG,points,under,D,other,False,False,0,0,0.0,0.4,nba_api_gamelog,23.6,70,18.5,-117,-105,0.9757,0,0,
2026-05-17,Cade Cunningham,DET,CLE,PF,points,over,D,other,False,False,0,0,0.0,0.562,nba_api_gamelog,23.9,64,26.5,-127,+103,0.9891,0,0,
2026-05-17,Cade Cunningham,DET,CLE,PF,assists,over,A+,valid,True,False,1,1,0.941,0.578,nba_api_gamelog,9.9,64,8.5,-109,-113,0.9414,0,0,
2026-05-17,James Harden,CLE,DET,SG,reb+ast,under,A,valid_combo,True,True,2,2,0.924,0.528,combo_average,12.8,70,11.5,+110,-134,0.9242,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-19,Jalen Brunson,NYK,CLE,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.419,nba_api_gamelog,3.3,74,3.5,+134,-164,1.0107,0,0,
2026-05-19,James Harden,CLE,NYK,SG,points,under,D,other,False,False,0,0,0.0,0.4,nba_api_gamelog,23.6,70,,,,0.9757,0,0,
2026-05-19,James Harden,CLE,NYK,SF,assists,under,A,valid,True,False,1,1,0.853,0.514,nba_api_gamelog,8.0,70,,,,0.8528,0,0,
2026-05-19,Jalen Brunson,NYK,CLE,PF,points,over,D,other,False,False,0,0,0.0,0.514,nba_api_gamelog,26.0,74,27.5,-122,-102,0.9838,0,0,
2026-05-19,Jalen Brunson,NYK,CLE,PF,assists,over,A,valid,True,False,1,1,0.936,0.541,nba_api_gamelog,6.8,74,5.5,-148,+119,0.9362,0,0,
2026-05-19,James Harden,CLE,NYK,PF,rebounds,under,A,valid,True,False,1,1,0.996,0.543,nba_api_gamelog,4.8,70,4.5,-125,+102,0.9955,0,0,
2026-05-19,James Harden,CLE,NYK,PF,reb+ast,under,A,valid_combo,True,True,2,2,0.924,0.528,combo_average,12.8,70,11.5,-102,-122,0.9242,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-24,De'Aaron Fox,SAS,OKC,SG,rebounds,over,A,valid,True,False,1,1,1.0,0.5,nba_api_gamelog,3.8,72,3.5,+108,-134,1.0455,0,0,
2026-05-24,Shai Gilgeous-Alexander,OKC,SAS,SG,points,under,D,other,False,False,0,0,0.0,0.412,nba_api_gamelog,31.1,68,29.5,+100,-122,0.9757,0,0,
2026-05-24,De'Aaron Fox,SAS,OKC,SF,points,under,D,other,False,False,0,0,0.0,0.458,nba_api_gamelog,18.6,72,14.5,-117,-106,0.9757,0,0,
2026-05-24,De'Aaron Fox,SAS,OKC,SF,assists,under,B,watchlist,False,False,1,1,0.868,0.417,nba_api_gamelog,6.2,72,5.5,+103,-125,0.8681,0,0,
2026-05-24,Shai Gilgeous-Alexander,OKC,SAS,PF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.471,nba_api_gamelog,4.3,68,3.5,-162,+131,1.0107,0,0,
2026-05-24,Shai Gilgeous-Alexander,OKC,SAS,PF,assists,under,B,watchlist,False,False,1,1,0.868,0.471,nba_api_gamelog,6.6,68,7.5,-103,-121,0.8681,0,0,
2026-05-24,Shai Gilgeous-Alexander,OKC,SAS,PF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.939,0.471,combo_average,10.9,68,11.5,-127,+104,0.9394,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-25,Jalen Brunson,NYK,CLE,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.419,nba_api_gamelog,3.3,74,3.5,+135,-167,1.0107,0,0,
2026-05-25,Jalen Brunson,NYK,CLE,SG,assists,under,A,valid,True,False,1,1,0.853,0.541,nba_api_gamelog,6.8,74,6.5,-145,+115,0.8528,0,0,
2026-05-25,James Harden,CLE,NYK,SG,points,under,D,other,False,False,0,0,0.0,0.4,nba_api_gamelog,23.6,70,24.5,+344,-477,0.9757,0,0,
2026-05-25,James Harden,CLE,NYK,SF,assists,under,A,valid,True,False,1,1,0.853,0.514,nba_api_gamelog,8.0,70,6.5,+112,-137,0.8528,0,0,
2026-05-25,Jalen Brunson,NYK,CLE,PF,points,over,D,other,False,False,0,0,0.0,0.514,nba_api_gamelog,26.0,74,26.5,-110,-112,0.9838,0,0,
2026-05-25,James Harden,CLE,NYK,PF,rebounds,under,A,valid,True,False,1,1,0.996,0.543,nba_api_gamelog,4.8,70,4.5,-122,+100,0.9955,0,0,
2026-05-25,Jalen Brunson,NYK,CLE,SG,reb+ast,under,B,watchlist_combo,False,True,2,2,0.932,0.48,combo_average,10.1,74,10.5,+110,-132,0.9317,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-25,James Harden,CLE,NYK,PF,reb+ast,under,A,valid_combo,True,True,2,2,0.924,0.528,combo_average,12.8,70,11.5,+108,-136,0.9242,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-26,De'Aaron Fox,SAS,OKC,SG,rebounds,over,A,valid,True,False,1,1,1.0,0.5,nba_api_gamelog,3.8,72,3.5,-159,+129,1.0455,0,0,
2026-05-26,Shai Gilgeous-Alexander,OKC,SAS,SG,points,under,D,other,False,False,0,0,0.0,0.412,nba_api_gamelog,31.1,68,29.5,-127,+104,0.9757,0,0,
2026-05-26,Shai Gilgeous-Alexander,OKC,SAS,SG,assists,under,B,watchlist,False,False,1,1,0.868,0.471,nba_api_gamelog,6.6,68,7.5,-137,+111,0.8681,0,0,
